Title,Issn,SJR Best Quartile,Categories,Year
Water Resources and Industry,22123717,Q1,"Geography, Planning and Development (Q1); Water Science and Technology (Q1)",2023
Journal of Loss Prevention in the Process Industries,09504230,Q1,"Food Science (Q1); Chemical Engineering (miscellaneous) (Q2); Control and Systems Engineering (Q2); Energy Engineering and Power Technology (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Safety, Risk, Reliability and Quality (Q2)",2023
Synthetic Metals,03796779,Q1,"Metals and Alloys (Q1); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)",2023
Agronomy,20734395,Q1,Agronomy and Crop Science (Q1),2023
Journal of Applied Oral Science,"16787757, 16787765",Q1,Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),2023
Police Practice and Research,15614263,Q1,Law (Q1); Social Sciences (miscellaneous) (Q1),2023
Case Studies on Transport Policy,"22136258, 2213624X",Q1,"Geography, Planning and Development (Q1); Urban Studies (Q1); Transportation (Q2)",2023
Geological Society Special Publication,03058719,Q1,Geology (Q1); Ocean Engineering (Q2); Water Science and Technology (Q2),2023
Integrative Cancer Therapies,"1552695X, 15347354",Q1,Complementary and Alternative Medicine (Q1); Oncology (Q3),2023
International Journal of Structural Stability and Dynamics,"02194554, 17936764",Q1,Building and Construction (Q1); Aerospace Engineering (Q2); Applied Mathematics (Q2); Civil and Structural Engineering (Q2); Mechanical Engineering (Q2); Ocean Engineering (Q2),2023
Journal of the Acoustical Society of America,"15208524, 00014966",Q1,Acoustics and Ultrasonics (Q1); Arts and Humanities (miscellaneous) (Q1),2023
Journal of Traditional and Complementary Medicine,22254110,Q1,Complementary and Alternative Medicine (Q1),2023
African Affairs,"00019909, 14682621",Q1,"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)",2023
European Journal of Forest Research,"16124677, 16124669",Q1,Forestry (Q1); Plant Science (Q1),2023
International Journal of Heritage Studies,"14703610, 13527258",Q1,"Conservation (Q1); Cultural Studies (Q1); Geography, Planning and Development (Q1); History (Q1); Museology (Q1); Tourism, Leisure and Hospitality Management (Q2)",2023
Porcine Health Management,20555660,Q1,Animal Science and Zoology (Q1); Food Animals (Q1); Small Animals (Q1),2023
Protoplasma,"16156102, 0033183X",Q1,Plant Science (Q1); Medicine (miscellaneous) (Q2); Cell Biology (Q3),2023
Crop Protection,02612194,Q1,Agronomy and Crop Science (Q1),2023
Cyberpsychology,18027962,Q1,Communication (Q1); Social Sciences (miscellaneous) (Q1); Psychology (miscellaneous) (Q2),2023
International Journal of Food Science and Technology,"09505423, 13652621",Q1,Food Science (Q1); Industrial and Manufacturing Engineering (Q2),2023
Millennium: Journal of International Studies,"03058298, 14779021",Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),2023
International Journal of Sport Policy and Politics,"19406940, 19406959",Q1,"Social Sciences (miscellaneous) (Q1); Tourism, Leisure and Hospitality Management (Q2)",2023
Journal of Multidisciplinary Healthcare,11782390,Q1,Nursing (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),2023
Sex Education,"14720825, 14681811",Q1,Social Sciences (miscellaneous) (Q1); Education (Q2),2023
Spatial Economic Analysis,"17421780, 17421772",Q1,"Earth and Planetary Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Statistics, Probability and Uncertainty (Q2)",2023
Journal Physics D: Applied Physics,"00223727, 13616463",Q1,"Acoustics and Ultrasonics (Q1); Surfaces, Coatings and Films (Q1); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2)",2023
International Journal of the Commons,18750281,Q1,Sociology and Political Science (Q1),2023
Psychology of Religion and Spirituality,19411022,Q1,Religious Studies (Q1); Applied Psychology (Q2); Social Psychology (Q2),2023
Aquatic Sciences,"14209055, 10151621",Q1,"Aquatic Science (Q1); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Water Science and Technology (Q2)",2023
Journal of Avian Biology,"1600048X, 09088857",Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)",2023
Journal of Pediatric Nursing,"15328449, 08825963",Q1,Pediatrics (Q1),2023
Steel and Composite Structures,12299367,Q1,Building and Construction (Q1); Metals and Alloys (Q1); Civil and Structural Engineering (Q2),2023
Symbolic Interaction,"15338665, 01956086",Q1,Communication (Q1); Nursing (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Education (Q2); Social Psychology (Q2),2023
Kyoto Journal of Mathematics,"21543321, 21562261",Q1,Mathematics (miscellaneous) (Q1),2023
Time and Society,"0961463X, 14617463",Q1,Sociology and Political Science (Q1),2023
Africa Spectrum,00020397,Q1,Cultural Studies (Q1); Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1),2023
Geocarto International,"17520762, 10106049",Q1,"Geography, Planning and Development (Q1); Water Science and Technology (Q2)",2023
Journal of Political Ecology,10730451,Q1,"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Ecology (Q2)",2023
European Constitutional Law Review,15740196,Q1,Law (Q1),2023
Journal of Behavior Therapy and Experimental Psychiatry,"18737943, 00057916",Q1,Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2); Psychiatry and Mental Health (Q2),2023
Marine Micropaleontology,03778398,Q1,Paleontology (Q1); Oceanography (Q2),2023
Pacific Journal of Mathematics,"00308730, 19455844",Q1,Mathematics (miscellaneous) (Q1),2023
Science and Technology Studies,22434690,Q1,History and Philosophy of Science (Q1); Multidisciplinary (Q1),2023
Fractals,"17936543, 0218348X",Q1,Multidisciplinary (Q1); Applied Mathematics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2),2023
Journal of Forestry,"00221201, 19383746",Q1,Forestry (Q1); Plant Science (Q1),2023
Political Theory,"00905917, 15527476",Q1,History (Q1); Sociology and Political Science (Q1),2023
Psychiatric Rehabilitation Journal,"1095158X, 15593126",Q1,Health Professions (miscellaneous) (Q1); Rehabilitation (Q1); Psychiatry and Mental Health (Q2),2023
Across Languages and Cultures,"15882519, 15851923",Q1,Linguistics and Language (Q1),2023
International Journal of Paleopathology,18799817,Q1,Archeology (arts and humanities) (Q1); Pathology and Forensic Medicine (Q2),2023
Journal of Documentation,00220418,Q1,Library and Information Sciences (Q1); Information Systems (Q2),2023
Journal of Visual Communication and Image Representation,"10473203, 10959076",Q1,Media Technology (Q1); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2),2023
Journal of Zoology,"09528369, 14697998",Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)",2023
Cultural Sociology,17499755,Q1,Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1),2023
Nanomedicine,"17486963, 17435889",Q1,Development (Q1); Bioengineering (Q2); Biomedical Engineering (Q2); Materials Science (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2),2023
Research in the Teaching of English,"0034527X, 19432348",Q1,Linguistics and Language (Q1); Education (Q2),2023
Canadian Journal of Philosophy,"00455091, 19110820",Q1,Philosophy (Q1),2023
Social Psychology,"18649335, 21512590",Q1,Arts and Humanities (miscellaneous) (Q1); Sociology and Political Science (Q1); Psychology (miscellaneous) (Q2); Social Psychology (Q2),2023
Hastings Center Report,"1552146X, 00930334",Q1,"Issues, Ethics and Legal Aspects (Q1); Philosophy (Q1); Health Policy (Q2); Health (social science) (Q2)",2023
Language and Communication,02715309,Q1,Communication (Q1); Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q2); Social Psychology (Q2),2023
Phytochemistry,"00319422, 18733700",Q1,Horticulture (Q1); Biochemistry (Q2); Medicine (miscellaneous) (Q2); Plant Science (Q2); Molecular Biology (Q3),2023
Social Network Analysis and Mining,"18695450, 18695469",Q1,Communication (Q1); Media Technology (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2); Information Systems (Q2),2023
Spatial and Spatio-temporal Epidemiology,"18775845, 18775853",Q1,"Geography, Planning and Development (Q1); Epidemiology (Q2); Health, Toxicology and Mutagenesis (Q2); Infectious Diseases (Q2)",2023
Journal of Music Therapy,00222917,Q1,Complementary and Manual Therapy (Q1); Music (Q1); Medicine (miscellaneous) (Q2),2023
Arthropod Structure and Development,"14678039, 18735495",Q1,"Insect Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Medicine (miscellaneous) (Q2); Developmental Biology (Q3)",2023
Journal of Building Performance Simulation,"19401507, 19401493",Q1,Architecture (Q1); Building and Construction (Q1); Computer Science Applications (Q2); Modeling and Simulation (Q2),2023
Design Science,20534701,Q1,Engineering (miscellaneous) (Q1); Visual Arts and Performing Arts (Q1); Modeling and Simulation (Q2),2023
Parasitology,"14698161, 00311820",Q1,Animal Science and Zoology (Q1); Infectious Diseases (Q2); Parasitology (Q2),2023
Research Studies in Music Education,"1321103X, 18345530",Q1,Music (Q1); Education (Q2),2023
Continental Shelf Research,"02784343, 18736955",Q1,Aquatic Science (Q1); Geology (Q2); Oceanography (Q2),2023
Plant Pathology,"00320862, 13653059",Q1,Agronomy and Crop Science (Q1); Horticulture (Q1); Plant Science (Q2); Genetics (Q3),2023
Revista de Ciencia Politica,"0718090X, 07161417",Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),2023
Foot and Ankle Specialist,"19387636, 19386400",Q1,Podiatry (Q1); Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Surgery (Q2),2023
Journal of Consumer Affairs,"00220078, 17456606",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)",2023
Africa,"00019720, 17500184",Q1,"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Geography, Planning and Development (Q1)",2023
BMC Veterinary Research,17466148,Q1,Veterinary (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),2023
China Economic Journal,"17538963, 17538971",Q1,"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)",2023
Evaluation,"13563890, 14617153",Q1,Sociology and Political Science (Q1); Development (Q2),2023
Language Variation and Change,09543945,Q1,Linguistics and Language (Q1); Education (Q2),2023
Journal of Thermal Biology,"18790992, 03064565",Q1,Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry (Q2); Developmental Biology (Q3); Physiology (Q3),2023
Child and Family Social Work,"13652206, 13567500",Q1,Sociology and Political Science (Q1); Health (social science) (Q2); Social Work (Q2),2023
Journal of Fish Diseases,"13652761, 01407775",Q1,Aquatic Science (Q1); Veterinary (miscellaneous) (Q1),2023
State Politics and Policy Quarterly,15324400,Q1,Arts and Humanities (miscellaneous) (Q1); Political Science and International Relations (Q1),2023
Structural Design of Tall and Special Buildings,"15417808, 15417794",Q1,Architecture (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2),2023
"City, Culture and Society","18779174, 18779166",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Urban Studies (Q1)",2023
Journal of Aging Studies,"08904065, 1879193X",Q1,"Issues, Ethics and Legal Aspects (Q1); Health Policy (Q2); Health (social science) (Q2); Life-span and Life-course Studies (Q2); Medicine (miscellaneous) (Q2)",2023
Organometallics,"15206041, 02767333",Q1,Inorganic Chemistry (Q1); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2),2023
Informal Logic,08242577,Q1,Philosophy (Q1),2023
Veterinary Microbiology,"03781135, 18732542",Q1,Veterinary (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Microbiology (Q3),2023
Functional Plant Biology,"14454408, 14454416",Q1,Agronomy and Crop Science (Q1); Plant Science (Q2),2023
Intellectual and Developmental Disabilities,"19349491, 19349556",Q1,"Community and Home Care (Q1); Developmental and Educational Psychology (Q2); Education (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)",2023
Journal of Global History,"17400228, 17400236",Q1,History (Q1); Sociology and Political Science (Q1),2023
Animal Frontiers,"21606064, 21606056",Q1,Animal Science and Zoology (Q1); Food Animals (Q1),2023
International Regional Science Review,"01600176, 15526925",Q1,Social Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q2),2023
Journal of Stored Products Research,0022474X,Q1,Agronomy and Crop Science (Q1); Horticulture (Q1); Insect Science (Q1); Food Science (Q2),2023
Discourse and Communication,"17504813, 17504821",Q1,Communication (Q1); Linguistics and Language (Q1),2023
Security Studies,"15561852, 09636412",Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),2023
"Research in Engineering Design - Theory, Applications, and Concurrent Engineering","14356066, 09349839",Q1,Architecture (Q1); Civil and Structural Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2),2023
Business and Politics,"13695258, 14693569",Q1,Political Science and International Relations (Q1); Industrial Relations (Q2),2023
Cross Cultural and Strategic Management,20595794,Q1,Cultural Studies (Q1); Sociology and Political Science (Q1); Business and International Management (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2),2023
Journal of Contemporary Ethnography,"08912416, 15525414",Q1,Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1); Urban Studies (Q1),2023
Patient Preference and Adherence,1177889X,Q1,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Health Policy (Q2); Medicine (miscellaneous) (Q2)",2023
American Journal of Human Biology,"10420533, 15206300",Q1,"Anthropology (Q1); Anatomy (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Genetics (Q3)",2023
Human Nature,"19364776, 10456767",Q1,"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)",2023
Topoi,"01677411, 15728749",Q1,Philosophy (Q1),2023
TRaNS: Trans-Regional and -National Studies of Southeast Asia,"2051364X, 20513658",Q1,"Anthropology (Q1); Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q1); Geography, Planning and Development (Q2)",2023
Identities,"15473384, 1070289X",Q1,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1),2023
International Journal of Comparative Sociology,00207152,Q1,Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1),2023
Journal of Aesthetics and Art Criticism,"15406245, 00218529",Q1,Music (Q1); Philosophy (Q1); Visual Arts and Performing Arts (Q1),2023
American Journal of Occupational Therapy,02729490,Q1,Occupational Therapy (Q1); Medicine (miscellaneous) (Q2),2023
Irrigation Science,"03427188, 14321319",Q1,Agronomy and Crop Science (Q1); Soil Science (Q2); Water Science and Technology (Q2),2023
Topics in Language Disorders,"15503259, 02718294",Q1,Linguistics and Language (Q1); Speech and Hearing (Q2),2023
Oxford Journal of Archaeology,"02625253, 14680092",Q1,"Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1); Geography, Planning and Development (Q2)",2023
Common Market Law Review,01650750,Q1,Law (Q1); Political Science and International Relations (Q1),2023
Frontiers of Architectural Research,"20952635, 20952643",Q1,Archeology (Q1); Architecture (Q1); Urban Studies (Q1); Building and Construction (Q2),2023
Body and Society,"1357034X, 14603632",Q1,Cultural Studies (Q1); Health (social science) (Q2); Social Psychology (Q2),2023
International Journal of Historical Archaeology,"10927697, 15737748",Q1,"Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1); History (Q1); Geography, Planning and Development (Q2)",2023
Journal of Linguistics,"14697742, 00222267",Q1,Linguistics and Language (Q1); Philosophy (Q1),2023
Journal of Mammalogy,"00222372, 15451542",Q1,"Animal Science and Zoology (Q1); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Nature and Landscape Conservation (Q2); Genetics (Q3)",2023
Language and Intercultural Communication,14708477,Q1,Communication (Q1); Linguistics and Language (Q1),2023
International Journal of Cultural Policy,"14772833, 10286632",Q1,Cultural Studies (Q1); Sociology and Political Science (Q1),2023
Journal of Disability Policy Studies,10442073,Q1,Law (Q1); Health (social science) (Q2),2023
International Emergency Nursing,"1878013X, 1755599X",Q1,Emergency Nursing (Q1),2023
Journal of Productivity Analysis,"0895562X, 15730441",Q1,Social Sciences (miscellaneous) (Q1); Business and International Management (Q2); Economics and Econometrics (Q2),2023
Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science,"10735615, 15431916",Q1,Metals and Alloys (Q1); Condensed Matter Physics (Q2); Materials Chemistry (Q2); Mechanics of Materials (Q2),2023
Journal of Family Business Management,"20436238, 20436246",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Strategy and Management (Q2)",2023
Journal of Health Care Chaplaincy,"15286916, 08854726",Q1,Religious Studies (Q1); Clinical Psychology (Q2); Health (social science) (Q2),2023
Journal of Veterinary Emergency and Critical Care,"14793261, 14764431",Q1,Veterinary (miscellaneous) (Q1),2023
Journal on Computing and Cultural Heritage,"15564711, 15564673",Q1,Conservation (Q1); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Information Systems (Q2),2023
BMJ Supportive and Palliative Care,"2045435X, 20454368",Q1,Medical and Surgical Nursing (Q1); Medicine (miscellaneous) (Q2); Oncology (nursing) (Q2),2023
Review of African Political Economy,"03056244, 17401720",Q1,"Political Science and International Relations (Q1); Development (Q2); Geography, Planning and Development (Q2)",2023
"Comparative biochemistry and physiology. Part A, Molecular &amp; integrative physiology","15314332, 10956433",Q1,Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q2); Molecular Biology (Q3); Physiology (Q3),2023
"Pedagogy, Culture and Society",14681366,Q1,Cultural Studies (Q1); Education (Q2),2023
Argumentation,"15728374, 0920427X",Q1,Linguistics and Language (Q1); Philosophy (Q1),2023
"Cognition, Technology and Work","14355558, 14355566",Q1,Philosophy (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2),2023
International Journal of Corpus Linguistics,"15699811, 13846655",Q1,Linguistics and Language (Q1),2023
South Atlantic Quarterly,00382876,Q1,Cultural Studies (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1),2023
Agroecology and Sustainable Food Systems,"21683565, 21683573",Q1,"Agronomy and Crop Science (Q1); Development (Q2); Renewable Energy, Sustainability and the Environment (Q2)",2023
Current Zoology,16745507,Q1,Animal Science and Zoology (Q1),2023
Journal of Intellectual and Developmental Disability,"13668250, 14699532",Q1,Arts and Humanities (miscellaneous) (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2),2023
Kyklos,"14676435, 00235962",Q1,Arts and Humanities (miscellaneous) (Q1); Economics and Econometrics (Q2),2023
Thought,21612234,Q1,Philosophy (Q1),2023
International Journal of MS Care,15372073,Q1,Advanced and Specialized Nursing (Q1); Neurology (clinical) (Q3),2023
Journal of Librarianship and Information Science,"09610006, 17416477",Q1,Library and Information Sciences (Q1),2023
Journal of Neurolinguistics,"18738052, 09116044",Q1,Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3),2023
Language and Speech,"00238309, 17566053",Q1,Linguistics and Language (Q1); Sociology and Political Science (Q1); Medicine (miscellaneous) (Q2); Speech and Hearing (Q2),2023
PeerJ,21678359,Q1,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q3)",2023
Architectural Engineering and Design Management,"17527589, 17452007",Q1,"Architecture (Q1); Building and Construction (Q2); Business, Management and Accounting (miscellaneous) (Q2)",2023
Bird Conservation International,"09592709, 14740001",Q1,Animal Science and Zoology (Q1); Ecology (Q2); Nature and Landscape Conservation (Q2),2023
Journal of Police and Criminal Psychology,"19366469, 08820783",Q1,Law (Q1); Applied Psychology (Q2),2023
Journal of Social Archaeology,14696053,Q1,Archeology (Q1); Arts and Humanities (miscellaneous) (Q1),2023
"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","14321351, 03407594",Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Behavioral Neuroscience (Q3); Physiology (Q3)",2023
European Journal of Philosophy,09668373,Q1,Philosophy (Q1),2023
International Journal of Gastronomy and Food Science,"18784518, 1878450X",Q1,Cultural Studies (Q1); Food Science (Q2),2023
Visitor Studies,"10645578, 19347715",Q1,"Communication (Q1); Museology (Q1); Education (Q2); Tourism, Leisure and Hospitality Management (Q2)",2023
Behavior Modification,"01454455, 15524167",Q1,Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q2); Developmental and Educational Psychology (Q2),2023
Laboratory Phonology,"18686354, 18686346",Q1,Linguistics and Language (Q1); Podiatry (Q1); Computer Science Applications (Q2),2023
Advanced Pharmaceutical Bulletin,"22517308, 22285881",Q1,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Pharmaceutical Science (Q2)",2023
BioMetals,"15728773, 09660844",Q1,"Agricultural and Biological Sciences (miscellaneous) (Q1); Metals and Alloys (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Biomaterials (Q3)",2023
Journal of Humanistic Psychology,"1552650X, 00221678",Q1,Philosophy (Q1); Sociology and Political Science (Q1); Social Psychology (Q2),2023
Medical and Veterinary Entomology,"0269283X, 13652915",Q1,"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Parasitology (Q2)",2023
Victims and Offenders,"15564886, 15564991",Q1,Law (Q1); Applied Psychology (Q2); Health (social science) (Q2); Pathology and Forensic Medicine (Q2),2023
Heliyon,24058440,Q1,Multidisciplinary (Q1),2023
Operative Dentistry,"03617734, 15592863",Q1,Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),2023
Research in Veterinary Science,"15322661, 00345288",Q1,Veterinary (miscellaneous) (Q1),2023
General and Comparative Endocrinology,"10956840, 00166480",Q1,Animal Science and Zoology (Q1); Endocrinology (Q3),2023
Journal of Crime and Justice,"21589119, 0735648X",Q1,Law (Q1),2023
New Review of Academic Librarianship,"13614533, 17407834",Q1,Library and Information Sciences (Q1); E-learning (Q2),2023
Wood Science and Technology,"00437719, 14325225",Q1,Forestry (Q1); Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2); Plant Science (Q2),2023
Journal of Latinos and Education,"1532771X, 15348431",Q1,Cultural Studies (Q1); Education (Q2),2023
International Journal of Language and Communication Disorders,"13682822, 14606984",Q1,Linguistics and Language (Q1); Speech and Hearing (Q2),2023
Journal of Child Health Care,"17412889, 13674935",Q1,"Pediatrics (Q1); Pediatrics, Perinatology and Child Health (Q2)",2023
Journal of Gender Studies,"14653869, 09589236",Q1,Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Social Sciences (miscellaneous) (Q1),2023
Review of Political Economy,"14653982, 09538259",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Political Science and International Relations (Q1)",2023
Croatian Journal of Forest Engineering,18455719,Q1,Forestry (Q1),2023
International Interactions,"03050629, 15477444",Q1,Political Science and International Relations (Q1),2023
Agronomy Journal,"00021962, 14350645",Q1,Agronomy and Crop Science (Q1),2023
Journal of Family Nursing,"10748407, 1552549X",Q1,Community and Home Care (Q1); Family Practice (Q2),2023
Open Quaternary,2055298X,Q1,Anthropology (Q1); Archeology (Q1); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Global and Planetary Change (Q3),2023
Bulletin of Mathematical Biology,"00928240, 15229602",Q1,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2); Pharmacology (Q2); Immunology (Q3); Neuroscience (miscellaneous) (Q3)",2023
Communication Education,"03634523, 14795795",Q1,Communication (Q1); Linguistics and Language (Q1); Education (Q2),2023
Environment and Society: Advances in Research,"21506779, 21506787",Q1,"Anthropology (Q1); Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Global and Planetary Change (Q3)",2023
Journal of Consciousness Studies,"20512201, 13558250",Q1,"Philosophy (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2); Artificial Intelligence (Q3)",2023
Weed Science,"00431745, 15502759",Q1,Agronomy and Crop Science (Q1); Plant Science (Q2),2023
Reproductive Biomedicine and Society Online,24056618,Q1,Cultural Studies (Q1); Health (social science) (Q2); Reproductive Medicine (Q2); Developmental Biology (Q3),2023
Applied Animal Behaviour Science,01681591,Q1,Animal Science and Zoology (Q1); Food Animals (Q2),2023
Metaphor and Symbol,"15327868, 10926488",Q1,Communication (Q1); Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q3),2023
Nationalities Papers,"14653923, 00905992",Q1,"History (Q1); Political Science and International Relations (Q1); Geography, Planning and Development (Q2)",2023
Archaeological Dialogues,"13802038, 14782294",Q1,"Archeology (Q1); Arts and Humanities (miscellaneous) (Q1); Geography, Planning and Development (Q2)",2023
Communication Reports,08934215,Q1,Communication (Q1); Linguistics and Language (Q1); Education (Q2),2023
Hesperia,"0018098X, 15535622",Q1,Archeology (Q1); Archeology (arts and humanities) (Q1); Classics (Q1); History (Q1),2023
International Journal for Parasitology: Parasites and Wildlife,22132244,Q1,Animal Science and Zoology (Q1); Infectious Diseases (Q2); Parasitology (Q2),2023
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,"1744117X, 18780407",Q1,Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q3); Genetics (Q3); Molecular Biology (Q3); Physiology (Q3),2023
Veterinary Anaesthesia and Analgesia,"14672995, 14672987",Q1,Veterinary (miscellaneous) (Q1),2023
"Culture, Medicine and Psychiatry","1573076X, 0165005X",Q1,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Health (social science) (Q2); Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q3),2023
Bulletin of the Council for Research in Music Education,"21627223, 00109894",Q1,Music (Q1); Education (Q2),2023
Cambridge Review of International Affairs,"09557571, 1474449X",Q1,Political Science and International Relations (Q1),2023
Chiropractic and Manual Therapies,2045709X,Q1,"Chiropractics (Q1); Complementary and Alternative Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q2)",2023
Journal of King Saud University - Science,10183647,Q1,Multidisciplinary (Q1),2023
Lingua,00243841,Q1,Linguistics and Language (Q1),2023
Contemporary Social Science,"2158205X, 21582041",Q1,History (Q1); Social Sciences (miscellaneous) (Q1),2023
Latin American Antiquity,"10456635, 23255080",Q1,Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1),2023
Physiological and Biochemical Zoology,"15222152, 15375293",Q1,Animal Science and Zoology (Q1); Biochemistry (Q3); Physiology (Q3),2023
Australian Journal of Grape and Wine Research,"13227130, 17550238",Q1,Horticulture (Q1),2023
Journal of the International Phonetic Association,00251003,Q1,Anthropology (Q1); Linguistics and Language (Q1); Speech and Hearing (Q2),2023
Classroom Discourse,"19463014, 19463022",Q1,Linguistics and Language (Q1); Education (Q2),2023
Journal of English Linguistics,"00754242, 15525457",Q1,Linguistics and Language (Q1),2023
Turkish Studies,14683849,Q1,History (Q1); Political Science and International Relations (Q1),2023
AlterNative,"11741740, 11771801",Q1,Anthropology (Q1); Cultural Studies (Q1); History (Q1),2023
Zeitschrift fur Psychologie / Journal of Psychology,"21512604, 21908370",Q1,Arts and Humanities (miscellaneous) (Q1); Psychology (miscellaneous) (Q2),2023
